"season_id","season","year"
1,"Spring2001",2001
2,"Summer2001",2001
3,"Spring2002",2002
4,"Summer2000",2000
6,"Summer2002",2002
7,"Spring2003",2003
8,"Summer2003",2003
9,"Spring2004",2004
10,"Summer2004",2004
11,"Spring2005",2005
12,"Summer2005",2005
13,"Spring2006",2006
14,"Summer2006",2006
15,"Spring2007",2007
16,"Summer2007",2007
17,"Spring2008",2008
18,"Summer2008",2008
19,"Spring2009",2009
20,"Summer2009",2009
21,"Spring2010",2010
22,"Summer2010",2010
23,"Spring2011",2011
24,"Summer2011",2011
