"stat_id","player_id","season_id","games_played","touchdowns","single_pt","double_pt","interceptions","sacks","field_goals"
1,7,1,10,1,0,0,0,1,0
2,8,1,10,1,1,0,0,1,0
3,6,1,10,1,1,0,2,0,0
4,9,1,9,1,1,0,0,3,0
5,12,1,10,2,0,0,0,1,0
6,4,1,10,0,1,0,1,0,0
7,10,1,10,0,0,0,1,1,0
8,11,1,10,5,1,0,2,1,0
9,2,1,10,3,0,0,2,2,0
10,7,2,11,0,0,2,0,0,0
11,8,2,10,0,1,0,1,5,0
12,14,2,8,4,0,0,1,0,0
13,3,2,8,3,0,2,0,0,0
14,9,2,10,0,0,0,1,3,0
15,12,2,9,3,0,0,0,2,0
16,13,2,8,1,0,1,1,0,0
17,4,2,8,0,0,1,0,0,0
18,10,2,9,1,0,0,1,0,0
19,1,2,12,7,0,1,3,1,0
20,2,2,9,4,0,1,3,0,0
21,1,1,10,3,0,0,4,3,0
22,1,4,10,0,0,0,6,6,0
23,2,4,10,0,0,0,7,0,0
25,7,3,10,1,1,0,0,1,0
26,8,3,9,1,0,1,1,1,0
27,3,3,8,7,2,0,4,1,0
28,9,3,9,3,0,0,1,7,0
29,12,3,6,0,2,0,2,0,0
31,10,3,8,1,0,0,3,1,0
32,11,3,10,2,0,1,3,0,0
33,1,3,10,3,1,0,6,0,0
34,2,3,10,1,2,0,3,0,0
35,15,3,6,0,0,0,1,0,0
36,16,3,11,5,0,1,1,0,0
37,7,4,10,0,0,0,0,0,0
38,8,4,10,0,0,0,0,0,0
39,9,4,10,0,0,0,0,0,0
40,11,4,10,0,0,0,0,0,0
41,6,4,10,0,0,0,0,0,0
42,7,6,10,3,0,2,4,0,0
43,8,6,11,4,0,2,0,2,0
44,3,6,9,4,0,1,1,0,0
45,9,6,2,0,0,0,0,1,0
46,12,6,9,2,0,0,0,2,0
47,16,6,10,3,0,0,0,2,0
48,10,6,5,1,0,0,1,4,0
49,11,6,9,1,0,1,2,0,0
50,1,6,9,2,0,3,0,0,0
51,2,6,11,4,0,1,5,0,0
52,18,6,8,2,0,1,1,1,0
53,17,6,6,0,0,0,0,0,0
54,19,6,2,0,0,0,0,0,0
56,20,6,1,0,0,1,0,0,0
57,8,7,9,3,0,0,0,8,0
58,3,7,9,2,0,1,3,0,0
59,18,7,9,1,1,0,1,0,0
60,9,7,2,0,0,0,0,0,0
61,12,7,9,2,0,0,0,0,0
62,21,7,10,2,0,1,2,0,0
63,16,7,10,4,0,1,1,0,0
64,10,7,7,0,0,0,3,1,0
65,11,7,6,1,0,0,1,0,0
66,1,7,7,3,1,0,5,1,0
67,2,7,10,4,1,0,2,0,0
68,8,8,12,2,0,0,0,4,0
69,18,8,4,0,0,0,0,0,0
70,9,8,10,7,0,3,1,1,0
71,12,8,10,1,0,0,1,0,0
72,21,8,10,3,0,5,0,0,0
73,16,8,12,5,0,2,1,0,0
74,10,8,10,1,0,0,1,0,0
75,11,8,10,5,0,3,1,0,0
76,1,8,11,9,0,0,5,0,0
77,2,8,12,5,0,0,2,0,0
78,3,8,2,0,0,0,0,0,0
79,8,9,10,3,0,0,1,5,0
80,3,9,2,0,0,1,1,0,0
81,18,9,7,0,1,0,3,0,0
82,12,9,8,3,0,0,2,1,0
83,21,9,9,3,2,0,2,0,0
84,16,9,7,1,2,0,1,0,0
85,10,9,10,2,0,0,5,1,0
86,22,9,6,4,0,0,2,0,0
87,1,9,9,6,3,0,4,1,0
89,23,9,9,1,2,0,1,1,0
90,2,9,10,1,0,0,3,0,0
91,8,10,12,3,0,0,1,0,0
92,3,10,12,2,0,1,1,7,0
93,25,10,11,1,0,1,1,0,0
94,12,10,12,1,0,0,0,0,0
95,21,10,9,8,0,5,3,1,0
96,16,10,11,4,0,4,6,0,0
97,5,10,9,3,0,0,0,0,0
98,22,10,2,2,0,0,0,0,0
99,1,10,11,3,1,3,2,0,0
100,23,10,5,0,0,0,0,0,0
101,2,10,12,2,1,0,0,0,0
102,8,11,8,0,0,0,0,4,0
103,25,11,8,1,1,0,3,1,0
104,12,11,8,1,0,0,2,0,0
105,21,11,4,0,1,0,0,0,0
106,16,11,1,0,0,0,0,0,0
107,10,11,8,5,1,0,2,0,0
108,15,11,3,0,2,0,1,0,0
109,26,11,4,3,0,0,0,0,0
110,1,11,8,4,2,0,5,0,0
111,23,11,6,0,0,1,1,0,0
112,2,11,7,0,0,1,1,0,0
113,1,13,10,8,3,0,5,0,0
114,25,13,8,7,1,0,1,0,0
115,27,13,6,4,2,0,0,0,0
116,10,13,7,3,1,1,1,0,0
117,8,13,9,4,2,0,0,6,0
118,29,13,7,3,0,1,1,0,0
119,16,13,9,2,1,1,3,0,0
120,2,13,10,2,1,0,3,0,0
121,12,13,7,1,1,0,1,0,0
122,28,13,6,0,0,1,2,0,0
123,23,13,6,0,0,0,1,1,0
124,16,14,11,6,0,4,2,2,0
125,29,14,9,5,0,2,1,3,0
126,27,14,9,3,0,2,1,0,0
127,10,14,6,2,0,0,2,0,0
128,8,14,11,3,0,0,2,3,0
129,28,14,10,2,0,2,1,0,0
130,12,14,10,2,0,1,1,0,0
131,1,14,11,2,0,1,6,0,0
132,30,14,7,1,0,0,0,1,0
133,25,14,8,0,0,1,2,0,0
134,23,14,2,0,0,0,0,0,0
136,2,14,12,3,0,0,1,0,0
137,16,15,9,8,0,1,3,0,0
138,10,15,6,3,0,1,2,1,0
139,25,15,8,5,0,0,3,0,0
140,2,15,9,2,0,2,1,0,0
141,8,15,8,2,0,1,1,4,0
142,27,15,4,2,0,0,0,0,0
143,1,15,6,2,0,0,1,0,0
144,21,15,1,1,0,1,0,0,0
145,28,15,9,1,0,1,1,0,0
146,12,15,9,1,0,0,0,0,0
147,1,16,11,6,1,0,2,0,0
148,2,16,12,4,1,2,4,3,0
149,35,16,6,4,0,0,0,4,0
150,27,16,8,4,0,1,0,1,0
151,12,16,10,3,0,1,0,0,0
152,10,16,2,3,0,1,0,2,0
153,34,16,2,2,0,0,1,0,0
154,25,16,8,2,0,2,0,0,0
155,16,16,10,2,0,0,0,0,0
156,32,16,10,1,0,2,1,0,0
157,28,16,10,0,0,1,0,0,0
158,33,16,8,0,0,0,0,0,0
159,36,16,6,0,0,0,0,0,0
160,8,16,12,0,1,1,0,0,0
161,25,17,9,6,0,1,2,0,0
162,35,17,6,4,0,1,0,7,0
163,36,17,9,2,0,1,0,0,0
164,1,17,10,4,0,1,1,0,0
165,8,17,8,2,1,0,1,1,0
166,2,17,10,2,0,0,1,0,0
167,32,17,5,0,0,0,0,0,0
168,12,17,1,0,0,0,0,0,0
169,33,17,1,0,0,0,0,0,0
170,28,17,6,0,0,0,0,0,0
171,37,17,8,2,0,3,0,2,0
172,1,18,12,9,0,0,4,0,0
173,38,18,6,4,0,1,1,0,0
174,10,18,2,1,0,1,1,0,0
175,2,18,10,3,0,1,0,0,0
176,37,18,12,2,0,1,1,1,0
177,25,18,7,2,0,0,1,0,0
178,8,18,12,1,0,0,0,0,0
179,23,18,5,0,0,1,0,0,0
180,39,18,1,0,0,0,0,0,0
181,35,18,4,0,0,0,0,1,0
182,12,18,9,0,0,0,0,1,0
183,36,18,9,0,0,0,1,0,0
184,40,18,6,0,0,0,0,0,0
185,38,19,10,5,0,1,2,0,0
186,25,19,8,4,0,0,3,0,0
187,41,19,4,2,0,1,0,0,0
188,35,19,9,4,0,0,0,6,0
189,1,19,10,1,1,0,4,0,0
190,2,19,10,1,1,0,2,0,0
191,8,19,10,1,0,0,0,1,0
192,12,19,7,1,0,0,0,0,0
193,16,19,7,0,0,0,1,0,0
194,36,19,9,0,0,0,0,0,0
195,10,19,8,0,0,0,1,0,0
196,1,20,12,9,1,1,3,0,0
197,35,20,11,7,0,1,3,19,0
198,43,20,12,5,0,2,0,0,0
199,38,20,7,2,0,2,2,0,0
200,8,20,12,3,0,1,1,0,0
201,42,20,11,2,0,1,0,0,0
202,25,20,11,1,0,1,3,0,0
203,36,20,8,0,0,1,1,0,0
204,12,20,19,0,0,0,1,0,0
205,2,20,10,0,0,0,4,0,0
206,35,21,9,9,1,0,0,2,0
207,44,21,1,1,0,0,1,0,0
208,8,21,7,2,0,1,2,0,0
209,36,21,9,2,0,1,0,0,0
210,45,21,10,1,0,3,1,0,0
211,46,21,10,1,0,0,0,0,0
212,43,21,8,1,0,0,0,0,0
213,2,21,10,1,0,0,2,0,0
214,12,21,9,0,0,3,0,0,0
215,1,21,10,0,0,3,0,1,0
216,16,21,4,0,0,0,0,0,0
217,42,21,2,0,0,0,1,0,0
218,1,22,10,11,1,1,1,0,0
219,35,22,11,7,0,1,0,15,0
220,12,22,5,1,0,0,0,0,0
221,47,22,2,0,0,1,0,0,0
222,8,22,5,0,0,0,0,0,0
223,44,22,5,0,0,0,0,1,0
224,36,22,5,0,0,0,0,1,0
225,48,22,2,0,0,0,0,0,0
226,43,22,2,0,0,2,0,0,0
227,2,22,5,0,0,0,1,0,0
228,16,22,1,1,0,0,0,0,0
229,47,23,9,11,0,2,5,1,0
230,50,23,10,8,0,1,4,0,0
231,2,23,9,4,0,0,2,0,0
232,8,23,9,3,0,2,1,1,0
233,1,23,9,3,0,1,3,0,0
234,12,23,9,3,0,0,2,0,0
235,35,23,10,2,0,7,0,15,0
236,16,1,2,0,0,1,0,0,0
237,49,23,9,0,1,0,0,0,0
238,43,23,5,0,0,0,0,0,0
239,50,24,8,3,0,1,1,0,0
240,51,24,3,1,0,1,0,0,0
241,53,24,6,1,0,0,1,7,0
242,1,24,10,1,1,1,3,0,0
243,16,24,11,1,0,1,1,0,0
244,8,24,9,1,0,0,0,0,0
245,12,24,8,1,0,0,0,0,0
246,52,24,8,1,0,0,0,0,0
247,2,24,11,1,0,0,1,0,0
248,49,24,8,0,1,0,0,0,0
249,5,24,7,0,0,0,0,0,0
250,43,24,3,0,0,0,0,0,0
